"Category","IsoCountryCode","Name","HomepageUrl","IsSelfService","DoumentationUrl","HasCodeLibraries","OrganisationName","Scope","SourceCodeLicence","Notes"
"Payment","GB","GOV.UK Pay","https://www.payments.service.gov.uk/","true","https://docs.payments.service.gov.uk/#gov-uk-pay-documentation","","Cabinet Office","Central and local government","",""
"Payment","IN","UPI","https://www.npci.org.in/product-overview/upi-product-overview","","","","National Payments Corporation of India / Reserve Bank of India","Government and","",""
"Messaging","GB","GOV.UK Notify","https://www.notifications.service.gov.uk/","true","https://www.notifications.service.gov.uk/documentation","true","Cabinet Office","Central and local government","",""
"Analytics","GB","GOV.UK Performance Platform","https://www.gov.uk/performance","false","","","Cabinet Office","Central","",""
"Publishing","GB","GOV.UK","","","","","","","",""
"Publishing","US","Federalist","https://18f.gsa.gov/what-we-deliver/federalist/","","","","","","",""
"Document signing","IN","DigiLocker","https://digilocker.gov.in/","","http://cca.gov.in/cca/sites/default/files/files/eSign-APIv2.1.pdf","","Ministry of Electronics and Information Technology","","","Documentation is limited"
"Hosting","US","cloud.gov","https://cloud.gov/","true","https://cloud.gov/docs/","","","","",""
"Hosting","IN","NIC Cloud","","","","","","","",""
"Payment","US","Pay.gov","https://pay.gov/public/home","","","","Bureau of the Fiscal Service","Central government","",""
"Payment","IT","PagoPA","https://www.agid.gov.it/it/piattaforme/pagopa","","","","AgID","Central and local government","",""
"Hosting","IT","CloudPA","https://cloud.italia.it","","","","AgID","Central and local government","",""
"Data","IT","DAF-PDND","https://dataportal.daf.teamdigitale.it","","","","Team digitale","Central and local government","",""
"App framework","IT","IO","https://io.italia.it","","","","Team Digitale","Central and local government","",""
"Wifi","UK","GovWifi","https://wifi.service.gov.uk","True","https://docs.wifi.service.gov.uk","False","Cabinet Office","Central government","MIT",""
"Procurement","NZ","The Marketplace","https://marketplace.govt.nz","True","https://cloud-marketplace-govt-nz.groovehq.com/help_center","False","New Zealand Government","Central","","Not 100% clear is central government only"
"Wifi","CA","GC-WIFI","","","","","","","",""
"Freedom of information","US","FOIA.gov","https://www.foia.gov","True","https://www.foia.gov/developer/","False","United States Department of Justice","Central government","CC0"," API provides a way for other agencies to update progress of applications. Code on github at https://github.com/usdoj/foia.gov"
"Payment","US","pay.gov","https://www.pay.gov","False","","False","U.S. Department of the Treasury, Bureau of the Fiscal Service","Central government","","18F have a mock version for testing https://github.com/18F/mock-pay"
"Design","AU"," Common Government Branding API","","","","","","","",""
"Recreation","US","Recreation.gov","https://www.recreation.gov","True","https://ridb.recreation.gov","False","","Central and government","","Funded by multiple agencies: https://www.doi.gov/ocl/recreationgov. used to power private sector campsite booking services"
"Analytics","US","The Digital Analytics Program","https://digital.gov/dap/","True","https://s3.amazonaws.com/digitalgov/_legacy-img/2014/05/DAP_v3.1_QuickGuide_Aug2016-1.pdf","True","General Services Administration","Central government","","Wrapper around Google Analytics. GSA also provides training to government agencies"
"Taxi","FR","Le Taxi","https://le.taxi","True","https://api.gouv.fr/api/le-taxi.html#doc_tech","False","","Central and local government","","Central government provides an Uber-like framework for taxi companies and app builders"
"Code","US","Code California","https://go.code.ca.gov","False","","False","CalGovOps & California Department of Technology","Local government","",""
"Food","US","Farmers Market Directory","https://www.ams.usda.gov/local-food-directories/farmersmarkets","True","https://search.ams.usda.gov/farmersmarkets/v1/svcdesc.html","True","United States Department of Agriculture - Agricultural Marketing Service","","",""
"Tax","IN","Goods & Services Tax Network","https://www.gstn.org","","","","","","","A non profit company owned by federal and state governmewnt, and by the private sector"
"Petition","GB","UK Government and Parliament petitions","http://petition.parliament.uk/","","","","","","",""
